date,age,deaths
7/9/2022,All Ages,8443033
7/9/2022,Under 1 year,46674
7/9/2022,0-17 years,83089
7/9/2022,1-4 years,8923
7/9/2022,5-14 years,14017
7/9/2022,15-24 years,87829
7/9/2022,18-29 years,155229
7/9/2022,25-34 years,187049
7/9/2022,30-39 years,232722
7/9/2022,35-44 years,279104
7/9/2022,40-49 years,349361
7/9/2022,45-54 years,494421
7/9/2022,50-64 years,1422136
7/9/2022,55-64 years,1124520
7/9/2022,65-74 years,1729176
7/9/2022,75-84 years,2057284
7/9/2022,85 years and over,2414036
7/9/2022,All Ages,4442748
7/9/2022,Under 1 year,25776
7/9/2022,0-17 years,48530
7/9/2022,1-4 years,5044
7/9/2022,5-14 years,8245
7/9/2022,15-24 years,64236
7/9/2022,18-29 years,112896
7/9/2022,25-34 years,131446
7/9/2022,30-39 years,157373
7/9/2022,35-44 years,182312
7/9/2022,40-49 years,222027
7/9/2022,45-54 years,309979
7/9/2022,50-64 years,875646
7/9/2022,55-64 years,689434
7/9/2022,65-74 years,1001572
7/9/2022,75-84 years,1072583
7/9/2022,85 years and over,952121
7/9/2022,All Ages,4000285
7/9/2022,Under 1 year,20898
7/9/2022,0-17 years,34559
7/9/2022,1-4 years,3879
7/9/2022,5-14 years,5772
7/9/2022,15-24 years,23593
7/9/2022,18-29 years,42333
7/9/2022,25-34 years,55603
7/9/2022,30-39 years,75349
7/9/2022,35-44 years,96792
7/9/2022,40-49 years,127334
7/9/2022,45-54 years,184442
7/9/2022,50-64 years,546490
7/9/2022,55-64 years,435086
7/9/2022,65-74 years,727604
7/9/2022,75-84 years,984701
7/9/2022,85 years and over,1461915
7/9/2022,All Ages,155586
7/9/2022,Under 1 year,920
7/9/2022,0-17 years,1671
7/9/2022,1-4 years,209
7/9/2022,5-14 years,275
7/9/2022,15-24 years,1717
7/9/2022,18-29 years,2917
7/9/2022,25-34 years,3432
7/9/2022,30-39 years,4361
7/9/2022,35-44 years,5627
7/9/2022,40-49 years,7433
7/9/2022,45-54 years,10451
7/9/2022,50-64 years,29727
7/9/2022,55-64 years,23478
7/9/2022,65-74 years,35147
7/9/2022,75-84 years,38937
7/9/2022,85 years and over,35393
7/9/2022,All Ages,81226
7/9/2022,Under 1 year,531
7/9/2022,0-17 years,1032
7/9/2022,1-4 years,120
7/9/2022,5-14 years,180
7/9/2022,15-24 years,1262
7/9/2022,18-29 years,2117
7/9/2022,25-34 years,2342
7/9/2022,30-39 years,2831
7/9/2022,35-44 years,3545
7/9/2022,40-49 years,4529
7/9/2022,45-54 years,6264
7/9/2022,50-64 years,17783
7/9/2022,55-64 years,14048
7/9/2022,65-74 years,20145
7/9/2022,75-84 years,19693
7/9/2022,85 years and over,13096
7/9/2022,All Ages,74360
7/9/2022,Under 1 year,389
7/9/2022,0-17 years,639
7/9/2022,1-4 years,89
7/9/2022,5-14 years,95
7/9/2022,15-24 years,455
7/9/2022,18-29 years,800
7/9/2022,25-34 years,1090
7/9/2022,30-39 years,1530
7/9/2022,35-44 years,2082
7/9/2022,40-49 years,2904
7/9/2022,45-54 years,4187
7/9/2022,50-64 years,11944
7/9/2022,55-64 years,9430
7/9/2022,65-74 years,15002
7/9/2022,75-84 years,19244
7/9/2022,85 years and over,22297
7/9/2022,All Ages,13341
7/9/2022,Under 1 year,124
7/9/2022,0-17 years,240
7/9/2022,1-4 years,20
7/9/2022,5-14 years,48
7/9/2022,15-24 years,313
7/9/2022,18-29 years,520
7/9/2022,25-34 years,626
7/9/2022,30-39 years,773
7/9/2022,35-44 years,769
7/9/2022,40-49 years,805
7/9/2022,45-54 years,1069
7/9/2022,50-64 years,2827
7/9/2022,55-64 years,2196
7/9/2022,65-74 years,3011
7/9/2022,75-84 years,2801
7/9/2022,85 years and over,2364
7/9/2022,All Ages,7744
7/9/2022,Under 1 year,68
7/9/2022,0-17 years,148
7/9/2022,1-4 years,13
7/9/2022,5-14 years,36
7/9/2022,15-24 years,224
7/9/2022,18-29 years,354
7/9/2022,25-34 years,392
7/9/2022,30-39 years,486
7/9/2022,35-44 years,485
7/9/2022,40-49 years,482
7/9/2022,45-54 years,662
7/9/2022,50-64 years,1845
7/9/2022,55-64 years,1435
7/9/2022,65-74 years,1806
7/9/2022,75-84 years,1599
7/9/2022,85 years and over,1024
7/9/2022,All Ages,5597
7/9/2022,Under 1 year,56
7/9/2022,0-17 years,92
7/9/2022,1-4 years,
7/9/2022,5-14 years,12
7/9/2022,15-24 years,89
7/9/2022,18-29 years,166
7/9/2022,25-34 years,234
7/9/2022,30-39 years,287
7/9/2022,35-44 years,284
7/9/2022,40-49 years,323
7/9/2022,45-54 years,407
7/9/2022,50-64 years,982
7/9/2022,55-64 years,761
7/9/2022,65-74 years,1205
7/9/2022,75-84 years,1202
7/9/2022,85 years and over,1340
7/9/2022,All Ages,195719
7/9/2022,Under 1 year,980
7/9/2022,0-17 years,1988
7/9/2022,1-4 years,249
7/9/2022,5-14 years,344
7/9/2022,15-24 years,2587
7/9/2022,18-29 years,4502
7/9/2022,25-34 years,5305
7/9/2022,30-39 years,6367
7/9/2022,35-44 years,7175
7/9/2022,40-49 years,8678
7/9/2022,45-54 years,11781
7/9/2022,50-64 years,32041
7/9/2022,55-64 years,25155
7/9/2022,65-74 years,40999
7/9/2022,75-84 years,50516
7/9/2022,85 years and over,50628
7/9/2022,All Ages,107912
7/9/2022,Under 1 year,546
7/9/2022,0-17 years,1178
7/9/2022,1-4 years,142
7/9/2022,5-14 years,191
7/9/2022,15-24 years,1930
7/9/2022,18-29 years,3352
7/9/2022,25-34 years,3821
7/9/2022,30-39 years,4405
7/9/2022,35-44 years,4834
7/9/2022,40-49 years,5658
7/9/2022,45-54 years,7438
7/9/2022,50-64 years,19842
7/9/2022,55-64 years,15533
7/9/2022,65-74 years,24041
7/9/2022,75-84 years,27546
7/9/2022,85 years and over,21890
7/9/2022,All Ages,87807
7/9/2022,Under 1 year,434
7/9/2022,0-17 years,810
7/9/2022,1-4 years,107
7/9/2022,5-14 years,153
7/9/2022,15-24 years,657
7/9/2022,18-29 years,1150
7/9/2022,25-34 years,1484
7/9/2022,30-39 years,1962
7/9/2022,35-44 years,2341
7/9/2022,40-49 years,3020
7/9/2022,45-54 years,4343
7/9/2022,50-64 years,12199
7/9/2022,55-64 years,9622
7/9/2022,65-74 years,16958
7/9/2022,75-84 years,22970
7/9/2022,85 years and over,28738
7/9/2022,All Ages,96658
7/9/2022,Under 1 year,633
7/9/2022,0-17 years,1110
7/9/2022,1-4 years,122
7/9/2022,5-14 years,184
7/9/2022,15-24 years,1028
7/9/2022,18-29 years,1718
7/9/2022,25-34 years,2017
7/9/2022,30-39 years,2629
7/9/2022,35-44 years,3384
7/9/2022,40-49 years,4420
